position	rank	score	title	year	genre	mpaa	imdb
1718	1069	83.4000005	Enemies, A Love Story	1989	Drasma	R	http://www.imdb.com/title/tt0097276/
1719	1070	83.40000049	Madigan	1968	Crime Drama	N/A	http://www.imdb.com/title/tt0063256/
1720		83.40000046	Dance with a Stranger (British)	1985	Biography	R	http://www.imdb.com/title/tt0088987/
1721	1071	83.40000043	Skins	2002	Drama	R	http://www.imdb.com/title/tt0113195/
1722	1072	83.40000036	The Friends of Eddie Coyle	1973	Crime Drama	R	http://www.imdb.com/title/tt0070077/
1723	1073	83.40000034	The Late Show	1977	Mystery	PG	http://www.imdb.com/title/tt0076301/
1724	1074	83.40000034	Les Girls	1957	Musical	N/A	http://www.imdb.com/title/tt0065126/
1725	1075	83.40000026	Fingers	1978	Drama	R	http://www.imdb.com/title/tt0077549/
1726		83.40000025	Isadora (British)	1968	Biography	M/PG	http://www.imdb.com/title/tt0063141/
1727	1076	83.40000922	Primary Colors	1998	Drama	R	http://www.imdb.com/title/tt0068327/
1728	1077	83.40000022	Anthony Adverse	1936	Adventure	N/A	http://www.imdb.com/title/tt0027300/
1729	1078	83.40000022	Wilson	1944	Biography	N/A	http://www.imdb.com/title/tt0037465/
1730	1079	83.40000021	The Pleasure of His Company	1961	Comedy	N/A	http://www.imdb.com/title/tt0057163/
1731		83.4000002	The Goalie's Anxiety at the Penalty Kick (German)	1971	Drama	N/A	http://www.imdb.com/title/tt0066773/
1732	1080	83.40000019	Barbary Coast	1935	Drama	N/A	http://www.imdb.com/title/tt0026097/
1733	1081	83.40000018	Judge Priest	1934	Comedy-Drama	N/A	http://www.imdb.com/title/tt0025335/
1734		83.40000017	Stardust (British)	1975	Drama	R	http://www.imdb.com/title/tt0072201/
1735	1082	83.40000016	Hester Street	1975	Drama	PG	http://www.imdb.com/title/tt0073107/
1736	1083	83.40000013	Tuck Everlasting	1980	Fantasy	N/A	http://www.imdb.com/title/tt0081664/
1737		83.40000012	In the White City (Swiss-Portuguese)	1983	Drama	N/A	http://www.imdb.com/title/tt0085400/
1738	1084	83.40000009	Joan of Paris	1942	War Drama	N/A	http://www.imdb.com/title/tt0034919/
1739	1085	83.40000008	A Night to Remember	1943	Mystery	N/A	http://www.imdb.com/title/tt0036203/
